,MDAMB175VII_BREAST,HS739T_FIBROBLAST,HS742T_FIBROBLAST,HCC2157_BREAST,KPL1_BREAST,MDAMB231_BREAST,HCC38_BREAST,DU4475_BREAST,T47D_BREAST,SNU1272_KIDNEY,TUHR10TKB_KIDNEY,CAKI1_KIDNEY,TUHR14TKB_KIDNEY,RCC10RGB_KIDNEY,TUHR4TKB_KIDNEY,OSRC2_KIDNEY,CCK81_LARGE_INTESTINE,CW2_LARGE_INTESTINE,SW1116_LARGE_INTESTINE,SNUC4_LARGE_INTESTINE,HCT15_LARGE_INTESTINE,HT115_LARGE_INTESTINE,NCIH508_LARGE_INTESTINE,SNU1033_LARGE_INTESTINE,SW1463_LARGE_INTESTINE,NCIH716_LARGE_INTESTINE,LS123_LARGE_INTESTINE,SNU1197_LARGE_INTESTINE,SNUC5_LARGE_INTESTINE,SW480_LARGE_INTESTINE,SNUC2A_LARGE_INTESTINE,OUMS23_LARGE_INTESTINE,SNU61_LARGE_INTESTINE,SNU761_LIVER,JHH7_LIVER,HLF_LIVER,LI7_LIVER,HUH6_LIVER,JHH5_LIVER,JHH1_LIVER,SNU449_LIVER,JHH4_LIVER,CALU6_LUNG,NCIH2291_LUNG,EBC1_LUNG,HCC1171_LUNG,NCIH1651_LUNG,NCIH1694_LUNG,NCIH1666_LUNG,DMS53_LUNG,NCIH1734_LUNG,SKMES1_LUNG,RERFLCAI_LUNG,NCIH1573_LUNG,HCC2279_LUNG,NCIH1341_LUNG,NCIH2228_LUNG,NCIH2085_LUNG,NCIH1963_LUNG,NCIH2347_LUNG,HCC15_LUNG,NCIH2029_LUNG,HCC33_LUNG,HS618T_FIBROBLAST,COLO668_LUNG,NCIH838_LUNG,NCIH322_LUNG,CORL105_LUNG,NCIH2227_LUNG,HCC1588_LUNG,RERFLCAD2_LUNG,NCIH510_LUNG,NCIH2342_LUNG,NCIH226_LUNG,NCIH520_LUNG,NCIH1184_LUNG,NCIH2087_LUNG,NCIH1915_LUNG,LU65_LUNG,NCIH2066_LUNG,KYSE450_OESOPHAGUS,TE8_OESOPHAGUS,TE6_OESOPHAGUS,OE33_OESOPHAGUS,TE14_OESOPHAGUS,TE10_OESOPHAGUS,TE4_OESOPHAGUS,ECGI10_OESOPHAGUS,OV56_OVARY,OVK18_OVARY,JHOS4_OVARY,JHOC5_OVARY,JHOM1_OVARY,OVCAR4_OVARY,SNU119_OVARY,OV90_OVARY,RMUGS_OVARY,JHOM2B_OVARY,COV318_OVARY,OVTOKO_OVARY,SW1990_PANCREAS,SNU324_PANCREAS,PANC0203_PANCREAS,SNU213_PANCREAS,HPAC_PANCREAS,PANC1_PANCREAS,PATU8988S_PANCREAS,SU8686_PANCREAS,WM115_SKIN,HS895T_FIBROBLAST,SKMEL28_SKIN,HS936T_SKIN,SKMEL1_SKIN,SH4_SKIN,COLO800_SKIN,CJM_SKIN,HS940T_FIBROBLAST,RVH421_SKIN
TSPAN6,4.052480358123402,2.7650604558189897,2.6195832197798796,2.9128939952449864,1.8421356765531218,2.9418039315284354,3.2228678461377385,0.10436001532424277,2.768204123921957,2.969388298214389,2.3233676321765744,3.0506938316279655,2.800325477211381,1.9782390361706734,3.326114575537799,3.005682604407159,3.543853682063679,3.6264719939853194,3.1484533605716547,3.7121075802331434,3.218475744846861,2.854744580253014,3.833845224364122,3.727138166231027,2.5641798306825083,0.48858001481867097,3.7407600759909254,2.4840729690394228,3.0349529867072724,3.4910380856619447,3.139399623366404,3.7478556592142334,3.2311995745570328,4.035478809355064,4.360292142527875,2.9258461460898246,3.1032404812692764,3.7800903341673204,3.5234150143864045,3.8987351111012107,4.092676505121403,3.0535293722802077,2.933324813425374,3.839882327650464,3.2359295794340284,3.4641721808235437,2.794839331174601,3.814410176561146,3.3655702040190043,3.255400599550573,3.9347624923976356,3.3655702040190043,3.093312601892855,3.4787755163075302,3.3054204262683866,0.9669838461896731,2.7421295147550726,3.4011973816621555,3.997833661841257,4.1420229975388425,3.492560387676128,3.062455905596899,3.6566144935266607,2.5241273629412815,1.0260415958332743,3.100542637906336,3.4384931664058525,2.7239235502585,3.126321843257593,2.3693087250369538,3.563032744247961,3.696351468952637,3.269568939183719,1.556037135706985,3.080073421987742,3.891207865714226,3.2276373305367736,3.1023420086122493,2.7831576735890153,2.533696813957432,2.4932054526026954,3.5731879796177446,3.486151087542319,3.6312503412773,3.566429294357372,3.0204248861443626,3.2457124788217606,2.8898160479624417,1.9430489167742813,2.776954179749421,3.4196919642983197,3.6309854756950335,3.646754527813265,3.4445761049641,3.408834808791367,3.360722549096437,3.591542221224979,4.209902902856373,3.033028058297688,3.322514859627687,2.6483001966964363,3.0223742045004123,2.745345985845907,3.8562988566557843,3.363495514478144,1.6882490928583902,2.925309809257445,2.642622395779755,2.700018029404946,2.9085390618516134,2.8178010650613294,3.315639493300509,2.932792473780117,2.8183982582710754,2.0693912058263346,2.543175557911976,2.172476407647025,3.4728976958273465
TNMD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2546422183735807,0.2776317365982795,0.3435897043900769,1.0784095813505903,0.0,0.35767444427181594,0.173953307123438,0.09531017980432487,0.0,0.0,0.019802627296179712,0.0,0.0,0.0,0.0,0.10436001532424277,0.0,0.039220713153281295,0.0,0.0,0.019802627296179712,0.8458682675776092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19885085874516517,0.019802627296179712,0.019802627296179712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019802627296179712,0.06765864847381481,0.0,0.0,0.0,0.0,0.0,0.0,0.10436001532424277,0.0,0.0,0.0,0.0,0.04879016416943201,0.0,0.0,0.0,0.019802627296179712,0.0,0.058268908123975775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04879016416943201,0.12221763272424921,0.0,0.0,0.0,0.13976194237515868,0.0,0.0,0.0,1.7934247485471162,0.0,0.0,0.0,0.009950330853168083,0.0,0.009950330853168083,0.0,0.0,0.0,0.019802627296179712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DPM1,4.415098675734075,4.06285389513073,3.8745288010005656,4.70002571700077,4.717248089393442,4.353498551059343,4.47175307254774,4.1666652238017265,4.676373944994423,4.176845783733844,4.2708157053378795,4.60816569496789,4.242045918369452,4.417152436649256,5.0121008862578655,5.032788098737389,4.772124265650924,3.8088822465086327,4.002594703612533,4.393584583507611,4.687579322228809,4.303524406518924,4.308514638737202,4.470495282661489,5.073985609597018,4.5324919604901055,4.432244350834499,4.616802270217799,4.394696037774544,5.192067566705326,4.156066620850098,4.555139252382526,4.608065989100117,3.846310462062765,4.268157803514369,4.91800817832099,4.206928922969246,4.6133367486544845,4.6149224774307696,4.511518629906636,4.555244377218366,4.414856779264584,4.223323943478561,3.978933710710773,4.743104372077405,4.611351045063173,4.603067977896221,4.22038966907276,5.045809369103909,4.245060779600724,4.3578620076745835,4.14059181338742,4.691989877940651,4.10016094754354,3.747384183486499,4.187075661479786,3.799078246412012,4.829353196876964,4.274858931480352,4.106108429142343,3.740522687265775,4.093844437180419,4.68794761244566,4.137563681342077,4.1112016792885235,5.4249059636476105,4.534640419797564,3.845241971737795,4.605969866158656,3.861992071822581,4.057680577850509,4.164958341550092,4.350277936359301,4.467056883858457,4.144720769547168,4.319619174545265,3.7419461750506287,4.433551152327272,4.237867538974276,4.768563732896527,5.048059522742255,5.4006934331649035,4.386267628931136,4.508989627514122,4.729862629945409,4.622518824322705,3.928683446321253,4.181744752502934,4.3965457207730845,4.155753190350744,4.766353223579481,4.390242789445222,4.34211568336104,4.694187882305744,4.210199814972569,4.082103275799747,4.067315889834181,4.763113664054046,4.761233321619679,4.175463613506893,5.136974216139274,3.9725535051681784,3.8910036382040705,4.426641427432833,3.8044377947482086,4.279162999214643,4.4246070822090005,4.394696037774544,4.211979438755315,4.552823705615882,4.523092074952484,4.3425058765115985,4.253624919869357,4.6016640466588035,4.4355674016019115,4.770260805853684,4.122932019074013,5.0762981828955365
SCYL3,2.8887037007954675,1.6409365794934714,1.0715836162801904,1.891604804197771,1.9286186519452522,1.5953389880545987,1.763017000362401,2.712706012638404,1.8594181177018698,1.308332819650179,1.9782390361706734,1.501852701754163,1.449269160281279,1.2119409739751128,1.3506671834767394,1.3987168811184478,1.8578592709325787,1.4906543764441333,0.9282193027394289,2.3045830956567186,1.5830939370944985,1.297463147413275,1.5851452198650557,1.6770965609079151,1.6505798557652755,1.4539530095937054,1.4929040961781488,1.501852701754163,1.7950872593207297,1.095273387402595,2.2793164660546914,1.7950872593207297,2.017566137961748,1.8213182714695995,1.7817091333745536,1.5830939370944985,2.138889000323256,1.4655675420143985,1.7351891177396608,1.3402504226184837,1.4609379041156565,1.5665304114228238,1.8293763327993617,1.2919836816486494,1.7083778602890038,1.556037135706985,1.7173950539391927,1.8931119634883424,1.7749523509116738,2.018895041811802,1.3270750014599193,1.6863989535702288,1.8484548129046001,2.65605490598383,1.208960345836975,2.1736147116970854,2.0320878452963655,1.5830939370944985,2.145931282948669,1.6937790608678513,1.5953389880545987,1.3029127521808397,2.1041341542702074,1.4327007339340463,1.7698546338400052,1.4747630091074988,1.8809906029559975,1.235471471385307,2.312535423847214,1.9712993830601329,1.332366019094335,1.8261608959453874,1.7900914121273581,0.9745596399981308,2.028148247292285,1.969905654611529,2.0347056478384444,1.5390154481375546,1.547562508716013,1.7047480922384253,1.6563214983329508,1.6272778305624314,1.551808799597464,1.7457155307266483,2.2731562823032334,1.0508216248317612,2.277267285009756,1.6114359150967734,1.4011829736136412,1.7950872593207297,1.7101878155342434,1.6582280766035324,1.199964782928397,1.0818051703517284,1.5107219394949427,1.308332819650179,1.4562867329399256,2.2071749081893874,1.3987168811184478,0.8754687373538999,1.43746264769429,1.9329696377795786,1.6900958154515549,1.597365331199831,1.9459101490553132,1.5933085305042167,1.884034745337226,1.9416152247724325,1.824549292051046,1.3480731482996928,1.3137236682850553,1.9329696377795786,1.715598108262491,1.8115620965242347,1.5151272329628591,1.2947271675944,1.6253112615903906,1.724550719534605
C1ORF112,2.8604851241459652,1.673351238177753,0.883767540168595,2.590767040487478,2.5726122302071057,3.2120525995200753,2.9851767596144745,3.209633243501268,2.8414149131696336,2.214846178686039,2.8903717578961645,2.1341664413690826,1.803358605071407,1.766441661243765,2.446685436967803,2.4300984132930052,2.7738379416402132,2.1482677326096886,1.8389610707123492,2.5718485799218085,3.1616703510974213,2.3739750890807185,1.4724720573609429,2.7744619666214616,1.888583653863595,2.71336936257981,2.7498317351171653,2.421256622711544,2.545531271604435,2.1234584270966104,2.667228206581955,2.9987277825337895,2.5974910105351463,2.2741856184723477,2.8887037007954675,2.8166056076565558,2.5900171341906173,2.830857630363757,2.637627736805664,2.189416394888408,2.7960610784249234,2.506341930508065,2.558776498354456,2.462149662665384,2.937043277205311,2.7006898466959175,2.839663087904102,3.09058780456667,2.8142103969306005,3.068517943279639,2.6275629501895237,2.517696472610991,3.1625170911988163,2.3749057545736716,2.1471001901536506,3.4173987610001633,2.307572634505085,3.4127965175055075,3.516904189374126,2.567254391136754,3.1471649773142003,2.080690761080268,3.01651481273652,2.2192034840549946,2.836736542063533,3.0022112396517002,3.0411835364579085,2.1838015570040787,3.2108436531709366,1.6409365794934714,2.5185025992165158,3.102791345847399,2.7212954278522306,2.6741486494265287,2.7819200496686656,3.303584552795155,3.09874002362822,2.7638002162067017,2.847232265235547,2.922623801733353,2.4527277514237653,2.460443177609626,2.8881470628740535,2.8820035082256483,2.94706710157271,1.8825138324965192,3.222469360378331,1.1817271953786161,1.7884205679625405,2.5974910105351463,2.731115474033206,3.0855729775537806,2.0731719286662407,2.532902848056256,2.378619779270043,1.965712776351493,2.77757626375082,2.5937610547000824,2.3243465847755584,1.9558604799084813,2.529720665577793,2.6979998652487085,2.667228206581955,2.4898941912990393,2.0268315914075385,2.4362414778067194,2.0955609235597192,1.8213182714695995,2.446685436967803,1.8961194845522977,2.714694743820879,3.6333667441836774,2.5603232890727545,2.492378664626701,2.8243506567983707,1.706564623164823,1.601405740736836,2.3933394562625097
FGR,0.04879016416943201,0.009950330853168083,0.0295588022415444,0.009950330853168083,0.019802627296179712,0.07696104113612832,0.058268908123975775,0.13976194237515868,0.019802627296179712,0.039220713153281295,0.04879016416943201,0.0,0.04879016416943201,0.04879016416943201,0.07696104113612832,0.058268908123975775,0.08617769624105233,0.11332868530700317,0.08617769624105233,0.019802627296179712,0.0,0.0,0.019802627296179712,0.019802627296179712,0.6830968447064438,0.12221763272424921,0.07696104113612832,0.039220713153281295,0.04879016416943201,0.04879016416943201,0.04879016416943201,0.0295588022415444,0.039220713153281295,0.04879016416943201,0.019802627296179712,0.009950330853168083,0.0295588022415444,0.0,0.058268908123975775,0.0,0.019802627296179712,0.019802627296179712,0.04879016416943201,0.009950330853168083,0.04879016416943201,0.039220713153281295,0.039220713153281295,0.1310282624064041,0.5481214085096876,0.0,0.0,0.058268908123975775,0.0295588022415444,0.039220713153281295,0.07696104113612832,0.13976194237515868,0.08617769624105233,0.09531017980432487,0.23111172096338664,0.0,0.0,0.06765864847381481,0.009950330853168083,0.019802627296179712,0.3074846997479606,0.039220713153281295,0.04879016416943201,0.019802627296179712,0.058268908123975775,0.019802627296179712,0.12221763272424921,0.11332868530700317,0.0295588022415444,0.009950330853168083,0.0,0.262364264467491,0.04879016416943201,0.009950330853168083,0.0,0.16551443847757338,0.0295588022415444,0.039220713153281295,0.2151113796169455,0.039220713153281295,0.019802627296179712,0.08617769624105233,0.09531017980432487,0.0295588022415444,0.14842000511827327,0.0295588022415444,0.04879016416943201,0.009950330853168083,0.412109650826833,0.009950330853168083,0.0295588022415444,0.039220713153281295,0.0,0.0,0.11332868530700317,0.009950330853168083,0.5364933705145685,0.019802627296179712,0.09531017980432487,0.019802627296179712,0.019802627296179712,0.0,0.009950330853168083,0.39204208777602373,0.04879016416943201,0.04879016416943201,0.06765864847381481,0.0,0.2151113796169455,0.009950330853168083,0.019802627296179712,0.019802627296179712,0.019802627296179712,0.04879016416943201
CFH,2.435366204227864,3.834709902325476,2.8039662579320366,0.07696104113612832,0.04879016416943201,1.3812818192963463,1.9430489167742813,0.019802627296179712,0.1310282624064041,3.9215772182329576,3.3105430133940246,2.7936160894318567,2.839663087904102,0.6523251860396903,3.6149637711637683,3.622739651609391,0.058268908123975775,0.09531017980432487,0.14842000511827327,0.08617769624105233,0.058268908123975775,0.1310282624064041,0.04879016416943201,1.791759469228055,0.14842000511827327,0.8020015854720274,0.22314355131420976,0.7227059828014898,0.4510756193602167,0.019802627296179712,0.39204208777602373,0.07696104113612832,1.623340817603092,3.4487168976301317,0.9001613499442714,0.10436001532424277,4.094844437263752,0.039220713153281295,3.106826321059578,0.039220713153281295,2.2731562823032334,3.498324092392878,3.578506396632566,2.6844403354630764,3.1445832202863455,2.391511302188447,3.1565747986708215,0.019802627296179712,1.3635373739972745,0.1310282624064041,3.6462328793924637,3.9506666290203505,0.44468582126144574,3.194173212227829,3.0007198150650303,0.3074846997479606,3.551913599040779,1.5151272329628591,0.08617769624105233,1.9892432737616872,3.88936831486334,0.009950330853168083,0.09531017980432487,3.3551534431607486,0.09531017980432487,0.039220713153281295,1.922787731634459,2.418588768750352,0.0295588022415444,0.0295588022415444,0.412109650826833,0.07696104113612832,0.4054651081081644,1.269760544863939,0.06765864847381481,0.019802627296179712,3.4849255971928677,0.7561219797213337,4.075841090657541,0.7030975114131134,0.8960880245566356,0.6471032420585385,1.8562979903656263,0.06765864847381481,3.3006401266708405,0.8586616190375187,3.799525974201,3.522234376704989,1.1817271953786161,0.2468600779315258,1.068153081183401,0.11332868530700317,4.206779991551889,0.4252677354043441,1.884034745337226,2.7356653681351832,1.0508216248317612,0.37156355643248307,3.955082494888593,0.30010459245033805,2.474856313934499,1.1314021114911006,2.77757626375082,2.064327903869788,2.8587664184808337,0.06765864847381481,0.058268908123975775,3.2511493854184965,3.3024814087229974,3.8543938925915096,0.32208349916911333,2.513656063073986,0.19062035960864973,0.15700374880966475,0.18232155679395462,0.6259384308664953,3.283914221047423,0.33647223662121295
FUCA2,2.6567569067146595,4.226687749209813,4.57409223041723,3.2634667081960758,3.892432355663142,4.120174738923119,4.435330406696193,5.1310814471721224,3.056356895370426,2.8166056076565558,4.4327197489894,3.902982260775997,3.526654599019104,3.654288009344317,4.199905057882593,4.034594557816327,4.730039168033961,3.6625354787743345,4.033000931981049,4.008786673860454,5.044650172683533,4.250778348063927,4.088829381533991,4.785406236291025,4.1944915108270395,3.726416057642662,4.157632301458019,4.457829598089382,4.19010918420648,3.749974553473747,4.663344750039164,4.454231010422805,4.475061500641071,3.9259259105971376,5.6911361796218785,4.649761069315966,5.074048181946317,4.257738109130536,4.656338472562491,4.124226936703971,4.093177214470094,3.8934516198427107,3.7242465979512276,4.353755752706852,4.276388302650885,3.7381456954168546,4.380775852772229,0.4382549309311553,3.542407550213679,4.303253953508486,5.23500476033627,4.577593418217857,4.4398237334000985,2.4765384001174837,5.068023311204986,0.76080582903376,4.7236640800358805,4.298237333944173,2.0255131996542803,3.7914360424390283,5.193789837194102,3.3343450746743146,2.9079933592459843,4.879387007486302,3.688129172723232,3.9908341858524357,4.248352374701448,3.8852682681193262,3.6280673147171787,4.01204931949527,4.006059647354529,0.9631743177730056,4.340292766189574,4.576976451617309,3.663818023518565,1.918392120161421,4.258728418329388,3.8918202981106265,4.834852314141884,4.187531276948218,3.7480913137457823,3.6888794541139363,3.7537304264335525,4.463952184072554,4.5782100044053085,3.6141559079179997,4.024458434757935,4.509539954972841,3.695358420211645,2.244955980157409,3.329343277894172,3.1945831322991562,5.142715634453464,3.432372999130605,4.973625468462355,4.837947186270539,3.8170527678369193,4.006605647914094,3.3336320621663895,4.2284382967028,3.947583180826697,3.472587377748828,3.1135153092103742,3.7814586354070294,3.6008675767907232,4.131800899266054,4.006605647914094,3.971046345877607,3.4134552790576573,4.202451303547952,4.147569323459399,4.519721224155608,3.660737148167656,3.7302612918927056,4.545420181582317,3.7381456954168546,4.187075661479786,3.4763048541489607
GCLC,3.2272407411998283,2.8925915146344776,2.548663615590751,3.386083743852107,3.2208738275308737,2.7363136663750693,2.997730276216664,3.093312601892855,2.9381031607173544,2.4362414778067194,4.072269354570243,2.884241897520628,1.728109442151599,2.2935443483418965,2.73696154459663,2.2915241456346207,3.9598603348423063,3.856933039110186,3.364187556028255,4.68914361976427,3.2100368762009963,3.5325179989895132,3.414113606928702,3.311637304949512,4.254477313726906,3.76096753050819,2.714694743820879,3.4262151446374434,3.6417878465800855,1.9544450515051506,4.291144138196708,3.39484390768998,3.6087534096346516,2.731115474033206,3.7360015611826713,2.8741294517947424,4.489983776178974,3.4265401893339504,4.556190003766373,3.0086484988205373,2.758109400974947,2.87976009730157,2.866761892257031,3.492560387676128,4.021953064800342,3.2924979647388146,4.086984207815808,2.5855058483441162,3.000222178826843,4.199154926574446,4.999034936029934,5.328507037711094,2.97092715463502,6.520105530743974,4.358630056867486,4.813321919483064,6.385986665173161,3.19744787745458,2.7868613815264998,3.755369195382769,6.022720936758536,4.297557478047431,3.2402458506043934,3.1642084235258925,3.1054831375131102,3.363495514478144,4.997550054547601,3.7150344115907874,2.559550192783766,3.882182163417125,2.554121718809473,4.508879525669805,4.896645056678569,2.3896797998449792,4.583231278469338,3.911222685257377,5.81568156715361,3.8013148834437245,3.6951100038645723,6.223766036206958,3.822973188594635,3.246880021277798,5.989713014069176,3.6219380483600547,5.623584199327089,3.3721118007670587,4.2367118035090225,4.112839144858265,3.9037892005010426,3.4490347110763153,3.096482176654134,3.0344721018699214,3.7674595542367935,2.574137783515943,2.772588722239781,3.754198920234579,4.441474093317302,4.140750935036256,2.3350522831315472,2.9887076586170265,2.8195915758351173,4.136765278106052,3.076851324838783,3.5773890780805733,5.728702703616424,3.4391352210025476,3.8381611568296905,3.8255932774297583,2.924773184613497,3.5745903077118086,2.8791984572980396,3.0402275134405423,3.195811885269649,3.6980869348648495,2.7954503913830435,4.115290326737563,2.411439497906128,2.6925980965432883
NFYA,2.9992261628082466,2.5494451709255714,1.7369512327330598,3.6858749450936377,2.884241897520628,3.8661884690843467,2.976039640208255,3.1518809560439225,2.596000697293587,2.565718292524414,2.9322598505984176,2.1198634561787513,2.0955609235597192,2.50715725872282,2.5305171610400525,2.4948569806411682,2.7837759116303458,3.061520014091994,1.8809906029559975,3.5127387563950627,3.3167282250357055,2.34660197841082,2.553343811341229,2.3739750890807185,2.6979998652487085,2.922623801733353,2.9407479652212314,2.7166795278002644,3.4949912609485163,2.0831845279586703,3.367295829986474,3.159550358783386,2.797281334830153,2.626840145676667,3.293612170982218,2.97092715463502,3.3748534063225533,2.6026896854443837,3.34779660493504,3.2507620137305224,3.5339784928959737,2.9412760877579323,3.1497400860333387,3.092858984284714,2.9052603703899154,3.3568971227655755,3.1954024686825586,3.9604321446358335,2.7466296830696852,3.49559805708364,3.5729072778615154,2.9851767596144745,3.3624565533457247,2.5974910105351463,3.1945831322991562,3.416085994155906,3.323956301318708,3.3603753871419,3.7864597824528,3.3958497753355603,3.079613757534693,3.551053137206533,3.7218305542536223,2.9096295745005794,2.5733752977756086,2.7485521444115397,2.7324175575505043,3.1285133847878095,3.337192051686243,2.6232182655855123,2.4874035299865875,4.242189689486082,2.9841656371825254,2.516889695641051,2.8021475244813256,3.721346644251438,2.7788192719904172,2.9668182633893485,3.585738695194423,3.910822284851627,2.6181254935742233,3.1328821117012247,2.7606426512213806,2.9439125248241944,2.6567569067146595,2.191653532286764,2.8803214220426634,2.9231615807191558,2.7536607123542622,3.576270509731282,2.567254391136754,2.794839331174601,2.498973906999436,2.453587966530573,4.014940539434832,2.659559991941776,2.192770226986839,3.126321843257593,2.453587966530573,2.2353763433005955,3.0392705755684744,3.3253956682458736,2.5726122302071057,3.530176762918616,2.6546494243750947,3.031099417391282,3.185939324621936,2.969388298214389,3.2339614622862416,2.3664984187376983,2.7587433154177283,3.0041963519661206,3.6336309798834576,3.634951112088381,2.773213527008623,2.451005098112319,2.6210388241125804,3.3758795736778655
