CCLE_ID,Pathology,Site_Primary,Gender,Age,mutRate
MDAMB175VII_BREAST,metastasis,breast,female,56,157.8873017
HS739T_FIBROBLAST,primary,breast,female,52,147.0067171
HS742T_FIBROBLAST,primary,breast,female,71,100.7269609
HCC2157_BREAST,primary,breast,female,48,173.1865428
KPL1_BREAST,metastasis,breast,female,50,117.7551518
MDAMB231_BREAST,metastasis,breast,female,51,166.1463911
HCC38_BREAST,primary,breast,female,50,96.75975762
DU4475_BREAST,metastasis,breast,female,62,107.2866384
T47D_BREAST,metastasis,breast,female,54,89.96583328
SNU1272_KIDNEY,primary,kidney,female,63,162.6978801
TUHR10TKB_KIDNEY,primary,kidney,,,168.6101635
CAKI1_KIDNEY,metastasis,kidney,male,49,116.8955149
TUHR14TKB_KIDNEY,primary,kidney,,,125.6648224
RCC10RGB_KIDNEY,primary,kidney,male,,130.9359681
TUHR4TKB_KIDNEY,primary,kidney,,,119.3989118
OSRC2_KIDNEY,primary,kidney,male,,96.71783566
CCK81_LARGE_INTESTINE,primary,large_intestine,,,689.3931011
CW2_LARGE_INTESTINE,primary,large_intestine,female,55,2211.992655
SW1116_LARGE_INTESTINE,primary,large_intestine,male,73,94.37319183
SNUC4_LARGE_INTESTINE,primary,large_intestine,male,35,583.5595209
HCT15_LARGE_INTESTINE,primary,large_intestine,male,,2069.977291
HT115_LARGE_INTESTINE,primary,large_intestine,,,1262.320071
NCIH508_LARGE_INTESTINE,metastasis,large_intestine,male,55,94.03118402
SNU1033_LARGE_INTESTINE,primary,large_intestine,female,45,131.1462669
SW1463_LARGE_INTESTINE,primary,large_intestine,female,66,90.61710247
NCIH716_LARGE_INTESTINE,metastasis,large_intestine,male,33,118.5641877
LS123_LARGE_INTESTINE,primary,large_intestine,female,65,110.6272486
SNU1197_LARGE_INTESTINE,primary,large_intestine,male,70,150.2724369
SNUC5_LARGE_INTESTINE,primary,large_intestine,female,77,802.4440016
SW480_LARGE_INTESTINE,primary,large_intestine,male,50,240.1277804
SNUC2A_LARGE_INTESTINE,primary,large_intestine,female,43,667.1912736
OUMS23_LARGE_INTESTINE,primary,large_intestine,,,137.2592429
SNU61_LARGE_INTESTINE,primary,large_intestine,male,48,150.4874262
SNU761_LIVER,primary,liver,male,49,174.4659694
JHH7_LIVER,primary,liver,male,53,257.2902848
HLF_LIVER,primary,liver,male,69,141.7095708
LI7_LIVER,primary,liver,,,139.1518781
HUH6_LIVER,primary,liver,male,,174.0189681
JHH5_LIVER,primary,liver,male,50,187.8191737
JHH1_LIVER,primary,liver,male,50,184.9301198
SNU449_LIVER,primary,liver,male,52,153.5990748
JHH4_LIVER,primary,liver,male,51,148.7392775
CALU6_LUNG,primary,lung,female,61,87.77718147
NCIH2291_LUNG,metastasis,lung,male,,159.0117836
EBC1_LUNG,primary,lung,male,69,161.3592702
HCC1171_LUNG,primary,lung,male,58,125.157705
NCIH1651_LUNG,primary,lung,male,71,272.2196239
NCIH1694_LUNG,metastasis,lung,male,61,109.534987
NCIH1666_LUNG,metastasis,lung,female,50,110.7362811
DMS53_LUNG,primary,lung,male,54,157.2416381
NCIH1734_LUNG,primary,lung,female,56,153.1393568
SKMES1_LUNG,metastasis,lung,male,65,148.3603289
RERFLCAI_LUNG,primary,lung,,,124.6755319
NCIH1573_LUNG,metastasis,lung,female,35,337.2852014
HCC2279_LUNG,primary,lung,female,52,189.5257761
NCIH1341_LUNG,metastasis,lung,female,,84.02451807
NCIH2228_LUNG,primary,lung,female,,108.3070776
NCIH2085_LUNG,primary,lung,male,45,111.5684726
NCIH1963_LUNG,primary,lung,male,56,157.897507
NCIH2347_LUNG,primary,lung,female,54,250.704126
HCC15_LUNG,primary,lung,male,47,264.6207321
NCIH2029_LUNG,metastasis,lung,female,69,89.90036362
HCC33_LUNG,metastasis,lung,male,52,126.7459796
HS618T_FIBROBLAST,primary,lung,female,60,108.9966548
COLO668_LUNG,metastasis,lung,female,47,185.27297
NCIH838_LUNG,metastasis,lung,male,59,111.3158979
NCIH322_LUNG,primary,lung,male,52,207.8568338
CORL105_LUNG,primary,lung,male,,86.52454761
NCIH2227_LUNG,primary,lung,male,54,136.788956
HCC1588_LUNG,primary,lung,female,63,147.6715363
RERFLCAD2_LUNG,primary,lung,male,,215.9785902
NCIH510_LUNG,primary,lung,male,56,259.731865
NCIH2342_LUNG,primary,lung,male,55,508.1042285
NCIH226_LUNG,metastasis,lung,male,,93.36313254
NCIH520_LUNG,primary,lung,male,,102.7445013
NCIH1184_LUNG,metastasis,lung,male,42,134.1563317
NCIH2087_LUNG,metastasis,lung,male,69,212.0987614
NCIH1915_LUNG,metastasis,lung,female,61,109.1253001
LU65_LUNG,primary,lung,male,64,139.7910668
NCIH2066_LUNG,primary,lung,female,70,161.4303635
KYSE450_OESOPHAGUS,primary,oesophagus,male,59,324.7573697
TE8_OESOPHAGUS,primary,oesophagus,,,120.1788709
TE6_OESOPHAGUS,primary,oesophagus,,,151.5654424
OE33_OESOPHAGUS,primary,oesophagus,female,73,99.55688748
TE14_OESOPHAGUS,primary,oesophagus,,,186.2431572
TE10_OESOPHAGUS,primary,oesophagus,,,126.1761027
TE4_OESOPHAGUS,primary,oesophagus,,,398.1513421
ECGI10_OESOPHAGUS,primary,oesophagus,male,65,120.3791123
OV56_OVARY,primary,ovary,female,46,85.71718592
